Fecha;Pais;Goles Totales;Jugador;;;;
27/06/2018;BRAZIL;2;José Paulo Maciel Júnior Paulinho;;;;
27/06/2018;BRAZIL;2;Thiago da Silva;;;;
27/06/2018;COSTA RICA          ;2;Kendall Waston;;;;
27/06/2018;COSTA RICA          ;2;Yann Sommer;;;;
27/06/2018;SOUTH KOREA         ;2;Kim Young-Gwon;;;;
27/06/2018;SOUTH KOREA         ;2;Son Heung-Min;;;;
27/06/2018;SWEDEN;3;Andreas Granqvist;;;;
27/06/2018;SWEDEN;3;Edson Álvarez;;;;
27/06/2018;SWEDEN;3;Ludwig Augustinsson;;;;
27/06/2018;SWITZERLAND         ;2;Blerim Džemaili;;;;
27/06/2018;SWITZERLAND         ;2;Josip Drmić;;;;
28/06/2018;BELGIUM;1;Adnan Januzaj;;;;
28/06/2018;COLOMBIA            ;1;Yerry Mina;;;;
28/06/2018;PANAMA;1;Yassine Meriah;;;;
28/06/2018;POLAND;1;Jan Bednarek;;;;
28/06/2018;TUNISIA;2;Fakhreddine Ben Youssef;;;;
28/06/2018;TUNISIA;2;Wahbi Khazri;;;;
30/06/2018;ARGENTINA           ;3;Ángel Di María;;;;
30/06/2018;ARGENTINA           ;3;Gabriel Mercado;;;;
30/06/2018;ARGENTINA           ;3;Sergio Agüero;;;;
30/06/2018;FRANCE;4;Antoine Griezmann;;;;
30/06/2018;FRANCE;4;Benjamin Pavard;;;;
30/06/2018;FRANCE;4;Kylian Mbappé;;;;
30/06/2018;FRANCE;4;Kylian Mbappé;;;;
30/06/2018;PORTUGAL;1;Képler Ferreira Pepe;;;;
30/06/2018;URUGUAY;2;Edinson Cavani;;;;
30/06/2018;URUGUAY;2;Edinson Cavani;;;;
01/07/2018;CROATIA;1;Mario Mandžukić;;;;
01/07/2018;DENMARK;1;Mathias Jørgensen;;;;
01/07/2018;RUSSIA;1;Artyom Dzyuba;;;;
01/07/2018;SPAIN;1;Sergey Ignashevich;;;;
02/07/2018;BELGIUM;3;Jan Vertonghen;;;;
02/07/2018;BELGIUM;3;Marouane Fellaini;;;;
02/07/2018;BELGIUM;3;Nacer Chadli;;;;
02/07/2018;BRAZIL;2;Neymar Santos Júnior;;;;
02/07/2018;BRAZIL;2;Roberto Firmino de Oliveira;;;;
02/07/2018;JAPAN;2;Genki Haraguchi;;;;
02/07/2018;JAPAN;2;Takashi Inui;;;;
03/07/2018;COLOMBIA            ;1;Yerry Mina;;;;
03/07/2018;ENGLAND;1;Harry Kane;;;;
03/07/2018;SWEDEN;1;Manuel Akanji;;;;
06/07/2018;BELGIUM;2;Fernando Roza Fernandinho;;;;
06/07/2018;BELGIUM;2;Kevin De Bruyne;;;;
06/07/2018;BRAZIL;1;Renato Augusto;;;;
06/07/2018;FRANCE;2;Antoine Griezmann;;;;
06/07/2018;FRANCE;2;Raphaël Varane;;;;
07/07/2018;CROATIA;2;Andrej Kramarić;;;;
07/07/2018;CROATIA;2;Domagoj Vida;;;;
07/07/2018;ENGLAND;2;Dele Alli;;;;
07/07/2018;ENGLAND;2;Harry Maguire;;;;
07/07/2018;RUSSIA;2;Denis Cheryshev;;;;
07/07/2018;RUSSIA;2;Mário Fernandes;;;;
10/07/2018;FRANCE;1;Samuel Umtiti;;;;
11/07/2018;CROATIA;2;Ivan Perišić;;;;
11/07/2018;CROATIA;2;Mario Mandžukić;;;;
11/07/2018;ENGLAND;1;Kieran Trippier;;;;
14/07/2018;BELGIUM;2;Eden Hazard;;;;
14/07/2018;BELGIUM;2;Thomas Meunier;;;;
15/07/2018;CROATIA;2;Ivan Perišić;;;;
15/07/2018;CROATIA;2;Mario Mandžukić;;;;
15/07/2018;FRANCE;4;Antoine Griezmann;;;;
15/07/2018;FRANCE;4;Kylian Mbappé;;;;
15/07/2018;FRANCE;4;Mario Mandžukić;;;;
15/07/2018;FRANCE;4;Paul Pba;;;;
